iter	Passed	Remaining
0	3	1034
1	5	766
2	7	741
3	9	739
4	13	779
5	16	805
6	18	786
7	20	734
8	22	716
9	24	720
10	26	704
11	29	707
12	32	708
13	34	710
14	36	696
15	38	681
16	40	672
17	41	651
18	44	655
19	46	655
20	49	660
21	52	661
22	54	659
23	57	659
24	59	658
25	61	646
26	63	646
27	65	634
28	67	627
29	69	621
30	71	620
31	74	620
32	76	619
33	78	616
34	81	617
35	83	610
36	84	603
37	86	599
38	89	596
39	91	595
40	93	588
41	94	579
42	96	575
43	98	570
44	100	567
45	101	562
46	104	560
47	106	559
48	107	552
49	109	547
50	110	540
51	112	536
52	113	529
53	115	524
54	116	518
55	117	513
56	119	507
57	120	502
58	121	497
59	122	491
60	124	486
61	125	481
62	126	475
63	127	470
64	129	467
65	130	462
66	131	458
67	133	453
68	134	449
69	135	445
70	136	441
71	137	436
72	138	431
73	140	427
74	141	423
75	142	418
76	143	414
77	144	411
78	145	407
79	146	403
80	148	400
81	149	397
82	150	394
83	152	391
84	153	387
85	154	384
86	155	381
87	157	378
88	158	375
89	159	372
90	160	369
91	161	366
92	162	361
93	163	358
94	164	355
95	166	352
96	167	350
97	168	347
98	169	344
99	170	341
100	172	339
101	173	336
102	174	334
103	176	332
104	177	329
105	178	326
106	179	324
107	181	322
108	182	319
109	183	317
110	184	314
111	186	312
112	187	310
113	188	307
114	189	305
115	190	302
116	192	300
117	193	297
118	194	295
119	195	293
120	196	290
121	197	288
122	199	286
123	200	284
124	201	282
125	202	279
126	203	277
127	205	275
128	206	273
129	207	271
130	208	269
131	209	267
132	211	265
133	212	263
134	213	261
135	214	259
136	216	257
137	217	255
138	218	253
139	219	251
140	220	249
141	222	247
142	223	245
143	224	243
144	225	241
145	226	239
146	228	237
147	229	235
148	230	233
149	231	231
150	233	229
151	234	228
152	235	226
153	236	224
154	238	222
155	239	220
156	240	219
157	241	217
158	242	215
159	243	213
160	244	211
161	246	209
162	247	207
163	248	206
164	249	204
165	251	202
166	252	200
167	253	199
168	254	197
169	256	195
170	257	194
171	258	192
172	259	190
173	261	189
174	262	187
175	263	185
176	264	184
177	266	182
178	267	180
179	268	179
180	269	177
181	271	175
182	272	174
183	273	172
184	274	170
185	276	169
186	277	167
187	278	165
188	279	164
189	281	162
190	282	161
191	283	159
192	285	158
193	286	156
194	287	154
195	288	153
196	289	151
197	291	150
198	292	148
199	293	146
200	294	145
201	295	143
202	297	142
203	298	140
204	299	138
205	301	137
206	302	135
207	303	134
208	304	132
209	305	130
210	306	129
211	307	127
212	308	126
213	310	124
214	311	123
215	312	121
216	313	120
217	315	118
218	317	117
219	318	115
220	319	114
221	320	112
222	321	111
223	322	109
224	323	107
225	324	106
226	326	104
227	327	103
228	328	101
229	329	100
230	330	98
231	332	97
232	334	96
233	335	94
234	336	93
235	338	91
236	339	90
237	340	88
238	341	87
239	343	85
240	344	84
241	345	82
242	346	81
243	348	79
244	349	78
245	350	76
246	351	75
247	352	73
248	353	72
249	355	71
250	356	69
251	357	68
252	358	66
253	359	65
254	361	63
255	362	62
256	363	60
257	364	59
258	366	57
259	367	56
260	368	55
261	369	53
262	370	52
263	372	50
264	373	49
265	374	47
266	375	46
267	377	45
268	378	43
269	379	42
270	380	40
271	381	39
272	382	37
273	384	36
274	385	35
275	386	33
276	387	32
277	389	30
278	390	29
279	391	27
280	392	26
281	394	25
282	395	23
283	396	22
284	397	20
285	398	19
286	399	18
287	400	16
288	401	15
289	402	13
290	403	12
291	404	11
292	405	9
293	406	8
294	408	6
295	409	5
296	410	4
297	411	2
298	412	1
299	413	0
